Website,ReversalID,OrderID,CreationDate,Quantity,RefundCompletionDate,RefundCompletionDate2,Amount,Currency,DisbursementType,ReversalStatus,ReversalAmountState,ReversalReason,DirectDebitRefundAmount
Amazon.ca,QSgz/QlnSL6QavbJ84ofjQ,701-6507823-9321862,5/27/2023 7:48,10,2/1/2023,45073.42911,336.6,CAD,Refund,Completed,Final,Shipping address is undeliverable,0
Amazon.ca,MUhLqxdtR1Wyk30VGLBBPw,702-8999797-4190605,1/31/2023 15:05,1,11/21/2022,44957.75239,188.74,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,tMkHnpTaTSOEUgFoGoG5Hg,701-5117969-5792247,11/20/2022 19:45,1,11/21/2022,44885.95484,33.85,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,9rzxzUimRpejI3clrdhkiQ,701-8576516-9580219,11/20/2022 19:45,1,1/11/2023,44885.96393,39.96,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,z93JGhBITyiiGP9TLMiKiA,702-8302311-8385012,1/10/2023 15:45,1,11/21/2022,44936.79009,69.21,CAD,Refund,Completed,Final,Item arrived late,0
Amazon.ca,9rzxzUimRpejI3clrdhkiQ,701-8576516-9580219,11/20/2022 19:45,1,11/20/2022,44885.96393,39.96,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,OYEQSbn9TwW/kdunt2GA8w,701-6697981-4185813,11/19/2022 14:37,1,11/20/2022,44884.74468,28.24,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,ULMQz5ZkQ9uYI8UBrpPpfw,701-6697981-4185813,11/19/2022 14:37,1,11/20/2022,44884.74468,28.24,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,jFNMndqbQtmS0Z+kDiVVGg,701-6697981-4185813,11/19/2022 14:36,1,11/20/2022,44884.74468,28.24,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,JXsa1uHPRySq3ryM41zyAA,701-6697981-4185813,11/19/2022 14:32,1,10/30/2022,44884.74468,28.24,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,tuzof4K/QZuf8qtSHBJMng,701-0246593-5850612,10/29/2022 17:58,1,11/20/2022,44863.88491,172.84,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,v3dhPBlbSTCSIITSjnl/ow,701-6697981-4185813,10/29/2022 17:52,1,11/20/2022,44884.74468,28.24,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,40ItsC5HSCOu0cg9gaufyA,701-6697981-4185813,11/19/2022 14:32,1,10/30/2022,44884.74468,28.24,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,tuzof4K/QZuf8qtSHBJMng,701-0246593-5850612,10/29/2022 17:58,1,10/30/2022,44863.88491,172.84,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,tuzof4K/QZuf8qtSHBJMng,701-0246593-5850612,10/29/2022 17:58,1,10/30/2022,44863.88491,172.84,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,tuzof4K/QZuf8qtSHBJMng,701-0246593-5850612,10/29/2022 17:58,1,10/30/2022,44863.88491,172.84,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,tuzof4K/QZuf8qtSHBJMng,701-0246593-5850612,10/29/2022 17:58,1,11/20/2022,44863.88491,172.84,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,lWilIUQIRRm7S+lUCg4ZEA,701-6697981-4185813,10/29/2022 17:52,1,7/30/2022,44884.74468,28.24,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,6JxhivAhSOOJWa642p6eCQ,701-8654753-3193049,7/29/2022 16:26,1,7/18/2022,44771.84937,18.06,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,hfMQainoTz28sz8totomOg,701-4183346-3687458,7/17/2022 16:40,1,7/30/2022,44759.79016,14.11,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,lJbjkRQjRsyNCZzZ0v6VOA,701-6567644-8981059,7/29/2022 16:25,1,7/30/2022,44771.83287,292.15,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,zce07ROJTA20W8TJZhQF5w,701-6567644-8981059,7/17/2022 16:31,1,6/22/2022,44771.83287,292.15,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,STclFfFSR0uM2NXt+Pgudw,701-0378027-0461807,6/21/2022 17:45,1,6/22/2022,44733.9135,15.44,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,frAYKDxyTeOPmPdaLm7Bbw,701-7982694-5835469,6/21/2022 17:38,1,6/22/2022,44733.90657,81.34,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,frAYKDxyTeOPmPdaLm7Bbw,701-7982694-5835469,6/21/2022 17:38,1,4/22/2022,44733.90657,81.34,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,OYGPoAkcRLadSTOFfuVo7Q,701-3852411-0621830,4/21/2022 19:05,2,4/22/2022,44672.93423,24.8,CAD,Refund,Completed,Final,Item not received,0
Amazon.ca,OYGPoAkcRLadSTOFfuVo7Q,701-3852411-0621830,4/21/2022 19:05,2,4/22/2022,44672.93423,24.8,CAD,Refund,Completed,Final,Item not received,0
Amazon.ca,pY2eRf1gQQW4oQMIJsVAGA,701-3852411-0621830,4/21/2022 19:05,1,3/8/2022,44672.93423,24.8,CAD,Refund,Completed,Final,Item not received,0
Amazon.ca,wmIiNx3HRICtuD4KAEerNA,701-0708299-8565026,3/7/2022 3:26,1,1/23/2022,44627.275,24.84,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,HQzTDttCQIOzT6961r7Fmg,701-0111128-2235475,1/22/2022 16:19,1,1/23/2022,44583.84036,24.3,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,Lv/NQ73oSEqSsxcXD0oYmA,701-5343597-0217037,1/22/2022 16:32,1,1/23/2022,44583.8518,35.9,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,OuLnjBOuTJi0xn9IWZIltw,701-4329685-1773022,1/22/2022 16:12,1,1/23/2022,44583.79881,23.05,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,'+y+sO3VoRy6fR7Wl/JsOeA',701-8034757-2385860,1/22/2022 16:11,1,1/23/2022,44583.80954,29.37,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,t8HLHQuZSTq4beNZWAqm9Q,701-4598119-6309824,1/22/2022 16:19,1,1/23/2022,44583.84096,23.05,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,bux4bCpBQgyq5mjgvkr3qA,701-8034757-2385860,1/22/2022 16:11,1,12/17/2021,44583.80954,29.37,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,HTdvVukySBm0kaNKz19WVg,701-1969481-5060205,12/15/2021 22:41,1,9/25/2021,44546.08827,507.22,CAD,Refund,Completed,Final,Item shipped late,0
Amazon.ca,v0Dn7u5STieBKGUtn20gfQ,701-1679240-6825028,9/24/2021 21:34,1,9/25/2021,44463.98332,86.99,CAD,Refund,Completed,Final,Item not received,0
Amazon.ca,v0Dn7u5STieBKGUtn20gfQ,701-1679240-6825028,9/24/2021 21:34,1,1/1/1900,44463.98332,86.99,CAD,Refund,Completed,Final,Item not received,0
